s1,s2,s3,s4,s5,s6,label
-3864,-56.0,16884.0,284.0,49.0,-216,idle
-3868,-176.0,16980.0,293.0,39.0,-195,idle
-3920,-104.0,16960.0,275.0,54.0,-207,idle
-3864,-60.0,16868.0,302.0,37.0,-180,idle
-3868,-96.0,16956.0,281.0,78.0,-214,idle
-3852,-104.0,16972.0,262.0,31.0,-193,idle
-3864,-116.0,16940.0,291.0,13.0,-229,idle
-3840,-80.0,16884.0,281.0,32.0,-189,idle
-3876,-140.0,16924.0,276.0,55.0,-175,idle
-3868,-84.0,16856.0,285.0,43.0,-212,idle
-3892,-144.0,16880.0,298.0,46.0,-217,idle
-3864,-96.0,16988.0,263.0,43.0,-189,idle
-3836,-128.0,17000.0,296.0,54.0,-234,idle
-3892,-92.0,16916.0,300.0,28.0,-186,idle
-3964,-156.0,16968.0,280.0,47.0,-226,idle
-3896,-160.0,16820.0,283.0,86.0,-198,idle
-3912,-96.0,16844.0,293.0,95.0,-232,idle
-3900,-128.0,16900.0,281.0,76.0,-221,idle
-3860,-64.0,16824.0,289.0,78.0,-202,idle
-3912,-152.0,16908.0,281.0,78.0,-181,idle
-3884,-136.0,17068.0,294.0,37.0,-175,idle
-3844,-120.0,17036.0,270.0,57.0,-191,idle
-3880,-140.0,16892.0,295.0,55.0,-186,idle
-3844,-104.0,16776.0,278.0,55.0,-199,idle
-3864,-92.0,16948.0,309.0,75.0,-212,idle
-3884,-148.0,16956.0,254.0,38.0,-218,idle
-3868,-108.0,16852.0,278.0,18.0,-183,idle
-3892,-136.0,16972.0,274.0,30.0,-221,idle
-3920,-144.0,16980.0,282.0,30.0,-213,idle
-3924,-100.0,17048.0,257.0,32.0,-189,idle
-3840,-64.0,16872.0,292.0,42.0,-225,idle
-3928,-96.0,16980.0,285.0,29.0,-244,idle
-3896,-80.0,16916.0,282.0,38.0,-195,idle
-3816,-128.0,16872.0,296.0,34.0,-197,idle
-3900,-56.0,16916.0,318.0,3.0,-193,idle
-3904,-72.0,17004.0,309.0,93.0,-212,idle
-3860,-76.0,16884.0,284.0,36.0,-203,idle
-3884,-140.0,16968.0,303.0,24.0,-193,idle
-3828,-128.0,16964.0,278.0,39.0,-208,idle
-3792,-148.0,16912.0,298.0,60.0,-214,idle
-3916,-152.0,16952.0,276.0,58.0,-215,idle
-3864,-112.0,16916.0,262.0,39.0,-208,idle
-3836,-84.0,16864.0,279.0,49.0,-204,idle
-3840,-108.0,16976.0,306.0,45.0,-230,idle
-3872,-84.0,16860.0,257.0,59.0,-200,idle
-3920,-136.0,16888.0,292.0,42.0,-218,idle
-3980,-124.0,16884.0,259.0,27.0,-233,idle
-3972,-124.0,17032.0,295.0,70.0,-201,idle
-3872,-128.0,16976.0,275.0,25.0,-177,idle
-3884,-152.0,16864.0,300.0,67.0,-172,idle
-3912,-192.0,16880.0,261.0,70.0,-211,idle
-3880,-44.0,16880.0,283.0,55.0,-198,idle
-3876,-144.0,16920.0,288.0,75.0,-214,idle
-3896,-88.0,16944.0,305.0,76.0,-186,idle
-3880,-108.0,16964.0,287.0,40.0,-218,idle
-3880,-104.0,17000.0,297.0,26.0,-195,idle
-3884,-192.0,17020.0,302.0,46.0,-186,idle
-3896,-80.0,16968.0,288.0,43.0,-194,idle
-3864,-124.0,16832.0,302.0,31.0,-207,idle
-3844,-132.0,16860.0,269.0,58.0,-228,idle
-3888,-116.0,16868.0,298.0,47.0,-200,idle
-3860,-104.0,17036.0,269.0,61.0,-191,idle
-3792,-116.0,16856.0,278.0,34.0,-192,idle
-3936,-56.0,16824.0,243.0,22.0,-211,idle
-3892,-160.0,16992.0,273.0,39.0,-208,idle
-3816,-136.0,16920.0,291.0,57.0,-236,idle
-3920,-168.0,16876.0,259.0,47.0,-203,idle
-3848,-88.0,16940.0,270.0,26.0,-210,idle
-3916,-172.0,17032.0,296.0,68.0,-204,idle
-3880,-100.0,16832.0,275.0,58.0,-183,idle
-3852,-104.0,16936.0,272.0,42.0,-181,idle
-3852,-108.0,16888.0,271.0,73.0,-205,idle
-3860,-160.0,16968.0,298.0,8.0,-196,idle
-3884,-128.0,16924.0,303.0,27.0,-201,idle
-3864,-156.0,16972.0,307.0,14.0,-231,idle
-3916,-76.0,17036.0,274.0,35.0,-203,idle
-3848,-100.0,16964.0,300.0,53.0,-173,idle
-3812,-128.0,16956.0,314.0,35.0,-191,idle
-3800,-104.0,16872.0,304.0,20.0,-218,idle
-3880,-140.0,16844.0,277.0,42.0,-191,idle
-3848,-76.0,17008.0,283.0,38.0,-221,idle
-3900,-148.0,16836.0,249.0,74.0,-183,idle
-3912,-80.0,16936.0,259.0,10.0,-218,idle
-3836,-88.0,16916.0,319.0,42.0,-224,idle
-3892,-84.0,16880.0,304.0,21.0,-194,idle
-3924,-124.0,16832.0,294.0,13.0,-218,idle
-3924,-188.0,17012.0,299.0,37.0,-215,idle
-3912,-124.0,16912.0,293.0,37.0,-161,idle
-3876,-116.0,16892.0,297.0,62.0,-182,idle
-3832,-96.0,16888.0,300.0,46.0,-237,idle
-3840,-120.0,16988.0,295.0,92.0,-199,idle
-3872,-84.0,16848.0,315.0,85.0,-227,idle
-3892,-164.0,17040.0,292.0,74.0,-250,idle
-3876,-200.0,17012.0,303.0,56.0,-210,idle
-3936,-164.0,16792.0,305.0,72.0,-200,idle
-3856,-100.0,16972.0,316.0,43.0,-193,idle
-3780,-116.0,16980.0,273.0,93.0,-219,idle
-3872,-200.0,16984.0,318.0,76.0,-212,idle
-3848,-132.0,16908.0,295.0,39.0,-219,idle
-3856,-132.0,16932.0,273.0,82.0,-225,idle
-3952,-160.0,16916.0,307.0,62.0,-197,idle
-3884,-152.0,16920.0,266.0,24.0,-224,idle
-3956,-108.0,17008.0,262.0,0.0,-210,idle
-3908,-136.0,16972.0,302.0,57.0,-202,idle
-3868,-116.0,17016.0,290.0,54.0,-161,idle
-3864,-108.0,16924.0,301.0,44.0,-205,idle
-3828,-108.0,16940.0,284.0,68.0,-193,idle
-3908,-96.0,16860.0,294.0,68.0,-232,idle
-3876,-124.0,16880.0,297.0,71.0,-202,idle
-3884,-72.0,16992.0,292.0,77.0,-215,idle
-3876,-100.0,17116.0,251.0,61.0,-181,idle
-3860,-96.0,16908.0,295.0,57.0,-171,idle
-3828,-144.0,16892.0,278.0,56.0,-189,idle
-3856,-148.0,16936.0,284.0,19.0,-205,idle
-3908,-68.0,16888.0,296.0,57.0,-251,idle
-3860,-128.0,16940.0,299.0,43.0,-225,idle
-3776,-108.0,16860.0,319.0,73.0,-194,idle
-3860,-100.0,16924.0,286.0,33.0,-200,idle
-3844,-100.0,16884.0,288.0,9.0,-202,idle
-3816,-140.0,16980.0,257.0,30.0,-209,idle
-3884,-56.0,16956.0,301.0,44.0,-175,idle
-3948,-148.0,16896.0,293.0,38.0,-221,idle
-3824,-124.0,16884.0,301.0,28.0,-231,idle
-3968,-132.0,16892.0,294.0,43.0,-208,idle
-3920,-88.0,16844.0,270.0,52.0,-188,idle
-3884,-140.0,16908.0,299.0,43.0,-194,idle
-3892,-132.0,16828.0,262.0,63.0,-181,idle
-3860,-84.0,16888.0,300.0,41.0,-232,idle
-3896,-80.0,16920.0,303.0,48.0,-194,idle
-3856,-44.0,16964.0,244.0,61.0,-196,idle
-3832,-140.0,16916.0,285.0,51.0,-219,idle
-3880,-104.0,16984.0,293.0,66.0,-213,idle
-3884,-144.0,16872.0,268.0,37.0,-208,idle
-3784,-84.0,16940.0,313.0,76.0,-192,idle
-3892,-112.0,16956.0,323.0,74.0,-208,idle
-3824,-88.0,16944.0,311.0,42.0,-210,idle
-3780,-116.0,16928.0,299.0,71.0,-195,idle
-3816,-124.0,17020.0,275.0,44.0,-180,idle
-3864,-156.0,16968.0,306.0,44.0,-200,idle
-3900,-152.0,16844.0,300.0,21.0,-225,idle
-3844,-108.0,16900.0,263.0,35.0,-222,idle
-3852,-108.0,17016.0,282.0,21.0,-198,idle
-3892,-96.0,16928.0,283.0,21.0,-220,idle
-3864,-132.0,16912.0,291.0,33.0,-183,idle
-3860,-132.0,16920.0,278.0,0.0,-217,idle
-3860,-160.0,16880.0,265.0,11.0,-186,idle
-3860,-104.0,16920.0,310.0,63.0,-188,idle
-3908,-92.0,16996.0,309.0,38.0,-182,idle
-3848,-96.0,16908.0,274.0,74.0,-193,idle
-3920,-80.0,16816.0,290.0,27.0,-196,idle
-3952,-108.0,16856.0,291.0,66.0,-215,idle
-3876,-60.0,16860.0,309.0,25.0,-197,idle
-3884,-92.0,16876.0,305.0,42.0,-227,idle
-3936,-152.0,16956.0,266.0,54.0,-218,idle
-3900,-92.0,16852.0,290.0,42.0,-215,idle
-3908,-92.0,16964.0,318.0,62.0,-186,idle
-3872,-68.0,16900.0,310.0,33.0,-193,idle
-3904,-128.0,16912.0,276.0,42.0,-211,idle
-3928,-112.0,16864.0,283.0,28.0,-187,idle
-3880,-156.0,16972.0,285.0,38.0,-197,idle
-3900,-100.0,16896.0,281.0,37.0,-199,idle
-3860,-188.0,17008.0,289.0,47.0,-220,idle
-3852,-88.0,16960.0,277.0,35.0,-211,idle
-3920,-88.0,16960.0,298.0,67.0,-206,idle
-3988,-92.0,16896.0,296.0,64.0,-197,idle
-3844,-116.0,16960.0,276.0,34.0,-225,idle
-3924,-96.0,16964.0,253.0,40.0,-223,idle
-3908,-84.0,16904.0,278.0,35.0,-197,idle
-3936,-92.0,16944.0,289.0,29.0,-210,idle
-3776,-92.0,16860.0,294.0,55.0,-198,idle
-3952,4.0,16856.0,290.0,92.0,-208,idle
-3844,-16.0,16848.0,322.0,110.0,-210,idle
-3900,-164.0,16860.0,299.0,147.0,-213,idle
-3916,-152.0,16916.0,315.0,135.0,-233,idle
-3832,-136.0,16924.0,315.0,117.0,-193,idle
-3960,-164.0,16848.0,314.0,96.0,-190,idle
-3908,-100.0,17028.0,286.0,46.0,-195,idle
-3796,-152.0,16936.0,282.0,73.0,-211,idle
-3884,-128.0,16900.0,297.0,29.0,-206,idle
-3896,-72.0,16864.0,297.0,49.0,-188,idle
-3940,-148.0,17016.0,282.0,11.0,-181,idle
-3892,-40.0,16984.0,304.0,23.0,-193,idle
-3872,-136.0,16928.0,288.0,20.0,-211,idle
-3892,-136.0,16920.0,262.0,76.0,-190,idle
-3840,-92.0,16956.0,265.0,41.0,-222,idle
-3848,-124.0,16860.0,280.0,27.0,-214,idle
-3856,-52.0,16916.0,283.0,26.0,-200,idle
-3892,-124.0,16884.0,296.0,43.0,-226,idle
-3932,-148.0,16860.0,287.0,58.0,-215,idle
-3912,-76.0,17048.0,261.0,45.0,-186,idle
-3836,-88.0,16748.0,270.0,14.0,-203,idle
-3908,-116.0,16944.0,295.0,87.0,-233,idle
-3864,-112.0,16916.0,281.0,62.0,-221,idle
-3940,-68.0,16880.0,311.0,29.0,-191,idle
-3848,-48.0,16948.0,280.0,67.0,-239,idle
-3904,-136.0,17040.0,281.0,36.0,-206,idle
-3940,-68.0,16948.0,290.0,26.0,-217,idle
-3848,-56.0,16924.0,306.0,30.0,-244,idle
 □ □140,16904.0,305.0,41.0,-191.0,idle,idle
-3880,-148.0,16884.0,295.0,59.0,-175,idle
-3836,-112.0,16980.0,315.0,36.0,-200,idle
-3852,-132.0,16908.0,300.0,51.0,-183,idle
-3860,-108.0,16816.0,258.0,41.0,-180,idle
-3868,-112.0,16928.0,316.0,28.0,-228,idle
-3840,-144.0,16948.0,254.0,49.0,-189,idle
-3820,-96.0,17012.0,288.0,47.0,-198,idle
-3856,-64.0,17076.0,264.0,20.0,-206,idle
-3816,-60.0,16968.0,253.0,55.0,-217,idle
-3840,-72.0,16912.0,279.0,26.0,-214,idle
-3832,-68.0,16916.0,269.0,30.0,-199,idle
-3944,-116.0,16924.0,295.0,21.0,-218,idle
-3884,-132.0,16980.0,284.0,37.0,-229,idle
-3896,-144.0,16908.0,283.0,53.0,-182,idle
-3916,-100.0,16856.0,288.0,49.0,-173,idle
-3936,-124.0,16912.0,309.0,41.0,-209,idle
-3840,-144.0,16936.0,287.0,34.0,-216,idle
-3864,-56.0,16916.0,289.0,66.0,-193,idle
-3836,-124.0,16984.0,295.0,63.0,-201,idle
-3880,-96.0,16972.0,314.0,51.0,-195,idle
-3876,-84.0,16984.0,293.0,75.0,-182,idle
-3860,-72.0,16836.0,269.0,57.0,-210,idle
-3892,-84.0,16960.0,309.0,46.0,-184,idle
-3840,-104.0,16976.0,281.0,41.0,-212,idle
