s1,s2,s3,s4,s5,s6,label
-1,-1,-1,-1,-1,-1,tilt
0,0,0,0,0,0,tilt
-1,-1,-1,-1,-1,-1,tilt
-7752,21180,32767,-11831,12719,-9500,tilt
-1,-1,-1,-1,-1,-1,tilt
2624,32767,15624,0,0,0,tilt
5856,32767,10468,-32768,32767,-32768,tilt
9428,32767,5876,-32768,32767,-32768,tilt
6424,27396,-3080,-32768,32767,-32768,tilt
9444,12632,-24164,-32768,32767,-30121,tilt
-4732,-13160,-32768,10530,-7857,-6896,tilt
15768,3892,-22736,32767,-32768,22999,tilt
19448,32767,6712,32767,-32768,32767,tilt
9316,32767,30064,32767,-32768,32767,tilt
-1,-1,-1,-1,-1,-1,tilt
-6352,29316,32767,32767,-6201,20565,tilt
-1,-1,-1,-1,-1,-1,tilt
-2716,30608,29020,0,0,0,tilt
-7992,13992,20160,0,0,0,tilt
3636,32767,3404,-32768,32767,-32768,tilt
4488,27880,3764,-32768,32767,-32768,tilt
4784,19620,-1128,-32768,32767,-32149,tilt
6624,8924,-20476,-32768,32767,-23152,tilt
1400,-11168,-32768,24732,-28401,4408,tilt
14092,10012,-11752,32767,-32768,32767,tilt
17260,32767,13468,32767,-32768,32767,tilt
-1,-1,-1,-1,-1,-1,tilt
-1,-1,-1,-1,-1,-1,tilt
-11120,27800,32767,32767,10214,1859,tilt
-1,-1,-1,-1,-1,-1,tilt
-1,-1,-1,-1,-1,-1,tilt
5644,32767,-1608,0,0,0,tilt
15024,30080,-8740,-32768,32767,-32768,tilt
12568,20816,-14772,-32768,32767,-32768,tilt
9000,4120,-30984,-32768,493,-21401,tilt
6940,-6596,-27744,32767,-32768,15826,tilt
12404,17972,-848,32767,-32768,32767,tilt
7260,32767,16632,32767,-32768,32767,tilt
-1540,32767,26276,32767,-25825,32767,tilt
-4440,28048,32767,32767,-7451,27644,tilt
-1,-1,-1,-1,-1,-1,tilt
-1192,32767,22356,79,-76,-69,tilt
-1,-1,-1,-1,-1,-1,tilt
7008,32767,3176,-32768,32767,-32768,tilt
7940,30968,1636,-32768,32767,-32768,tilt
6096,23704,-3988,-32768,32767,-32768,tilt
3668,12368,-11252,-32768,32767,-32768,tilt
5152,840,-25800,-32768,10148,-23043,tilt
4236,-8704,-29432,28509,-32768,11103,tilt
12604,10284,-9568,32767,-32768,32767,tilt
17192,31988,8472,32767,-32768,32767,tilt
13792,32767,19176,32767,-32768,32767,tilt
7044,32767,21648,32767,-32768,32767,tilt
-3896,32767,28972,32767,-27186,24678,tilt
-1,-1,-1,-1,-1,-1,tilt
-1,-1,-1,-1,-1,-1,tilt
-1260,30200,9908,0,0,0,tilt
2676,27888,10912,-32768,26558,-32768,tilt
684,28216,17536,-32768,32767,-32768,tilt
3476,32767,22432,-32768,32767,-32768,tilt
11592,32048,9620,-32768,32767,-27488,tilt
10600,19228,-20696,-32768,32767,-26586,tilt
1976,-6284,-32768,-17383,-1846,-13967,tilt
16896,-5040,-32428,32767,-32768,20613,tilt
25848,32767,6440,32767,-32768,32767,tilt
14992,32767,32767,32767,-32768,26407,tilt
-1,-1,-1,-1,-1,-1,tilt
-8600,24768,32767,32767,-31951,348,tilt
-8384,14804,25600,0,0,0,tilt
3016,32767,32767,-32768,32767,-22733,tilt
-1,-1,-1,-1,-1,-1,tilt
24464,32767,3936,0,0,0,tilt
8656,30380,-16296,-32768,32767,-20144,tilt
4932,12372,-32768,-32768,32767,-18070,tilt
3824,-4856,-32768,28280,-23551,-686,tilt
17276,13748,-22552,32767,-32768,24622,tilt
22172,32767,8892,32767,-32768,32767,tilt
-1,-1,-1,-1,-1,-1,tilt
-1,-1,-1,-1,-1,-1,tilt
-1,-1,-1,-1,-1,-1,tilt
-1,-1,-1,-1,-1,-1,tilt
5560,32767,32767,0,0,0,tilt
-1,-1,-1,-1,-1,-1,tilt
21908,32767,9064,0,0,0,tilt
17404,32767,-13332,-32768,32767,-27820,tilt
9036,16324,-32768,-32768,32767,-21951,tilt
10492,-7316,-32768,32767,-32768,1131,tilt
18484,23376,-5856,32767,-32768,30723,tilt
13052,32767,23196,32767,-32768,31643,tilt
-10856,31372,32767,0,0,0,tilt
-6348,23964,32767,0,0,0,tilt
5244,32180,32767,-32768,32767,-12959,tilt
7248,32767,32767,-32768,32767,-22940,tilt
1364,32767,28692,0,0,0,tilt
17032,23692,-8672,-32768,32767,-9036,tilt
4448,10500,-25228,-32768,32767,-6686,tilt
-464,636,-32768,16073,30759,1140,tilt
7680,1524,-31232,32767,-32768,18865,tilt
17996,10788,-16216,32767,-32768,32767,tilt
24552,30832,4316,32767,-32768,32767,tilt
23024,32767,22932,32767,-32768,32767,tilt
13860,32767,32767,32767,-32768,32767,tilt
-1,-1,-1,-1,-1,-1,tilt
4260,32767,32767,-4200,32612,-20187,tilt
11824,32767,32767,-32768,32767,-32768,tilt
-1,-1,-1,-1,-1,-1,tilt
22360,32767,7056,0,0,0,tilt
25232,32767,-12048,-32768,32767,-32768,tilt
15220,20320,-32768,-32768,32767,-32768,tilt
2132,-6808,-32768,3197,-2344,-20002,tilt
24600,1372,-30808,32767,-32768,18916,tilt
21880,30212,624,32767,-32768,32767,tilt
18100,32767,27548,32767,-32768,32767,tilt
-2968,32767,32767,0,0,0,tilt
-1,-1,-1,-1,-1,-1,tilt
-956,30312,32767,0,0,0,tilt
4612,32767,32767,-32768,32767,-32768,tilt
-1,-1,-1,-1,-1,-1,tilt
13528,32767,4472,-32768,32767,-32768,tilt
11208,26156,-10944,-32768,32767,-32768,tilt
3908,12636,-21712,-32768,32767,-31690,tilt
4792,-240,-32768,-22642,9185,-16760,tilt
7400,-5828,-32768,32767,-32768,10190,tilt
11848,17980,-6824,32767,-32768,27717,tilt
16808,32767,22024,32767,-32768,32537,tilt
