s1,s2,s3,s4,s5,s6,label
-17272,2696,17436,-15828,2048,12482,shake
-12492,2516,15196,-16157,417,506,shake
-7856,3116,13048,-14537,2018,-2250,shake
-9616,1332,10152,-8844,616,-5235,shake
-11852,1872,8728,638,-5578,-11849,shake
-12696,4028,9084,10143,-15048,-20665,shake
-11868,5752,11264,18524,-21652,-31765,shake
-8100,7572,13444,22839,-25982,-32768,shake
-804,9360,15904,20696,-20995,-32768,shake
5352,6716,20928,14214,-7464,-32768,shake
7412,1604,21564,5615,3697,-18458,shake
7608,808,19872,1528,6596,-6122,shake
9300,2268,19828,-1217,6996,6258,shake
8428,4472,18940,-4230,7608,17767,shake
7328,5448,18712,-6842,8619,27476,shake
5860,6512,18640,-9662,12261,32767,shake
-972,5500,18896,-9619,10150,32767,shake
-7256,5036,19080,-9517,5137,32767,shake
-7772,6384,18284,-11938,5192,27713,shake
-10672,4072,15720,-12353,1308,19776,shake
-1,-1,-1,-1,-1,-1,shake
-15440,1400,11804,-2793,-11619,-3398,shake
-14708,2980,9688,3968,-20897,-17110,shake
-12616,5476,9640,9829,-31227,-30651,shake
-7336,7892,12168,14170,-30885,-32768,shake
180,8932,15044,13800,-20544,-32768,shake
3160,6832,19124,7939,-10458,-32768,shake
6164,4544,21624,1093,-3236,-32768,shake
9760,2524,22552,-7408,124,-23967,shake
12232,2392,20572,-13109,3504,-11368,shake
-1,-1,-1,-1,-1,-1,shake
11244,2848,17336,0,0,0,shake
9332,4832,16956,-17944,14475,29814,shake
5828,5968,16960,-16649,15627,32767,shake
-108,3960,16100,-13924,14341,32767,shake
-6348,1900,14984,-10047,9617,29158,shake
-11380,-288,15116,-6111,4830,18276,shake
-14132,-1272,14864,-3165,136,5547,shake
-13844,160,14012,-1325,-4767,-7322,shake
-11156,936,11964,3577,-6865,-17971,shake
-7500,2532,11552,8142,-6039,-24372,shake
-5436,2652,14080,12001,-5713,-28475,shake
-2604,3144,17180,12817,-2445,-29814,shake
664,1840,20388,8100,2011,-26042,shake
2340,892,21364,3150,2696,-20096,shake
4440,416,20920,-1406,2167,-14264,shake
8708,-100,21012,-6204,2969,-3368,shake
10512,204,19852,0,0,0,shake
-1,-1,-1,-1,-1,-1,shake
7720,3604,18632,0,0,0,shake
2912,4080,17384,-9799,3268,32767,shake
-3812,1836,15160,-5327,1904,32767,shake
-10344,420,14804,142,-4769,26627,shake
-1,-1,-1,-1,-1,-1,shake
-13524,380,16004,6425,-11025,2840,shake
-13188,288,15952,4188,-15115,-6709,shake
-10924,-496,15412,4501,-12612,-16471,shake
-7980,540,16008,4191,-5449,-22243,shake
-5616,1300,16152,2418,-973,-24921,shake
-3860,1612,15900,2022,1783,-26748,shake
-1000,2300,17420,3257,2397,-28103,shake
2960,2752,19028,2286,3208,-25693,shake
8572,1252,20448,-2094,6034,-16484,shake
11888,-1668,20020,-5973,11159,412,shake
12548,-1232,18612,-9174,17015,19933,shake
10064,1828,18540,-10731,18069,32767,shake
6140,4444,17916,-10025,14044,32767,shake
2004,5184,17648,-8769,10560,32767,shake
-5192,3440,16388,-6153,9013,32767,shake
-14852,292,14964,-2364,6258,31203,shake
-22536,236,14920,-692,-4963,14692,shake
-21524,568,13732,153,-12646,-4650,shake
-16320,2548,11748,2650,-18740,-20091,shake
-11548,4176,11116,6949,-20979,-30175,shake
-7244,5616,12904,9083,-16205,-32768,shake
-4796,3992,15448,9448,-9775,-32768,shake
-1968,3724,17924,7590,-4138,-32768,shake
1744,3264,19572,4012,-935,-31449,shake
5188,2544,19540,435,81,-24310,shake
6312,1392,20004,-2765,285,-15297,shake
6392,296,19572,-6172,-648,-6630,shake
7112,-336,18044,-7946,-905,2081,shake
7644,-420,16208,-6617,1369,11272,shake
6324,-344,15312,-3155,2660,19022,shake
4216,552,14780,1296,5275,24432,shake
2152,2116,14300,6480,7614,27067,shake
-2524,2952,15352,11187,7009,27804,shake
-10752,2752,19668,11394,1804,22031,shake
-14988,2596,21496,4950,-410,9931,shake
-14404,1008,20372,-2403,-1775,-2369,shake
-12048,932,17528,-6121,-1569,-10826,shake
-8168,1800,15708,-7208,1717,-15497,shake
-5012,1728,15612,-6690,4081,-16315,shake
-2544,1288,16600,-6402,6361,-14723,shake
-860,568,17488,-7446,8737,-10628,shake
1008,-116,18116,-8664,7998,-6831,shake
2812,-1288,18864,-9461,5719,-1876,shake
3380,-2112,18552,-10213,2078,4350,shake
940,-2188,17452,-9479,-1499,8183,shake
884,-1940,16304,-7159,-5391,9913,shake
960,-1380,15632,-3221,-7993,12382,shake
292,-1332,15680,646,-6244,15070,shake
-536,-656,14952,4984,-5639,16421,shake
-3836,-348,16468,8694,-8198,16390,shake
-7088,740,17128,8850,-12102,13048,shake
-8688,732,17820,7129,-10133,8916,shake
-10436,-168,18688,4636,-6879,4231,shake
-12232,-932,18436,-407,-941,-890,shake
-12476,-508,16956,-4283,4497,-6851,shake
-12004,64,14528,-5028,7502,-13665,shake
-10128,744,13512,-2692,11039,-20154,shake
-6076,92,15292,643,11489,-24730,shake
-396,-96,18488,2713,9664,-26001,shake
5840,944,20604,1035,5584,-21297,shake
10156,160,21084,-1319,-114,-12082,shake
11812,-1216,19380,-2222,-5333,109,shake
9168,-1536,17484,417,-8664,11108,shake
4432,-332,17912,3711,-10560,17866,shake
1332,708,16488,6329,-12166,20273,shake
-996,1504,15768,10591,-14085,20720,shake
-5440,716,18544,13698,-13477,19732,shake
-9912,864,22388,8846,-7047,16349,shake
-11452,-84,21172,-477,115,9681,shake
-11168,-36,17368,-5390,4444,3299,shake
-10416,560,13944,-5284,7133,-3594,shake
-10700,1216,12576,-1726,6724,-10823,shake
-9436,2124,13052,2644,8241,-17710,shake
-6840,2080,15024,5703,8105,-23487,shake
-1160,2664,18896,6034,5080,-27033,shake
5960,2620,21368,2275,2729,-23391,shake
10832,-24,21552,-2378,-30,-12568,shake
11696,-1364,20108,-4395,-2844,594,shake
9892,-560,18584,-3810,-4736,11797,shake
7292,1116,18112,-1837,-4879,19515,shake
4320,1648,17420,434,-2647,24595,shake
-4088,384,19040,2490,-4326,25093,shake
-9932,960,19032,156,-4430,18651,shake
-10692,1476,17076,-2119,-6093,8935,shake
-11524,772,15296,-1730,-6287,1221,shake
-11888,588,13552,-913,-4116,-6063,shake
-11468,1580,12376,1059,-1345,-13292,shake
